Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,101,205,12601,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,102,204,97624,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,103,203,8185,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),104,201,14978,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,CT1000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 1TB,105,200,52084,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,106,199,40327,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,107,199,240629,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,108,198,36473,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,109,196,2380,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,110,196,44403,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,111,193,387,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,112,193,12045,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),113,193,8648,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,114,191,163917,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,MZ-V8V250B,Samsung,980 NVMe PCIe M.2 250GB,115,191,5987,https://ssd.userbenchmark.com/SpeedTest/1501500/Samsung-SSD-980-250GB
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,116,190,20095,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,117,190,122,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,WDS250G1B0E,WD,Black SN750 SE NVMe PCIe M.2 250GB,118,190,720,https://ssd.userbenchmark.com/SpeedTest/1655912/WD-BLACK-SN750-SE-250GB
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,119,189,14368,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,SB-ROCKET-512,Nvme,Rocket NVMe PCIe M.2 512GB,120,187,23539,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,121,186,8641,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,121,186,8641,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,122,185,5772,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,123,184,250,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,124,184,133,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,125,183,9202,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,126,183,10318,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,,Intel,Optane+ NVMe PCIe 500GB,127,181,1939,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,,Intel,Optane+ NVMe PCIe 128GB,128,181,229,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,129,180,2806,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,130,179,2407,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,131,179,497,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,132,179,78255,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,133,177,99566,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,134,177,12504,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,135,176,11069,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,136,175,7621,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,137,174,3426,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,138,172,1241,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,139,171,339,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,140,171,1772,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
