Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5 M 430,972,40.2,11978,https://cpu.userbenchmark.com/SpeedTest/34/IntelR-CoreTM-i5-CPU-------M-430----227GHz
CPU,,AMD,Athlon II X2 215,973,40.2,4059,https://cpu.userbenchmark.com/SpeedTest/885/AMD-Athlontm-II-X2-215-Processor
CPU,,Intel,Core i3-2357M,974,40.1,113,https://cpu.userbenchmark.com/SpeedTest/6916/IntelR-CoreTM-i3-2357M-CPU---130GHz
CPU,,Intel,Core2 Duo P9600,975,40.1,449,https://cpu.userbenchmark.com/SpeedTest/8493/IntelR-CoreTM2-Duo-CPU-----P9600----266GHz
CPU,,Intel,Core2 Duo T9400,976,40.1,2692,https://cpu.userbenchmark.com/SpeedTest/3645/IntelR-CoreTM2-Duo-CPU-----T9400----253GHz
CPU,,Intel,Celeron 2957U,977,40.1,2339,https://cpu.userbenchmark.com/SpeedTest/12071/IntelR-CeleronR-2957U---140GHz
CPU,,Intel,Celeron 1007U,978,39.9,4501,https://cpu.userbenchmark.com/SpeedTest/3995/IntelR-CeleronR-CPU-1007U---150GHz
CPU,,AMD,A8-3500M APU,979,39.8,1190,https://cpu.userbenchmark.com/SpeedTest/5434/AMD-A8-3500M-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Athlon 64 X2 Dual Core 5400+,980,39.8,858,https://cpu.userbenchmark.com/SpeedTest/4069/AMD-Athlontm-64-X2-Dual-Core-Processor-5400-
CPU,,Intel,Pentium E6500,981,39.7,5101,https://cpu.userbenchmark.com/SpeedTest/720/PentiumR-Dual-Core--CPU------E6500----293GHz
CPU,,Intel,Pentium D 3.73GHz,982,39.7,42,https://cpu.userbenchmark.com/SpeedTest/10162/IntelR-PentiumR-D-CPU-373GHz
CPU,,Intel,Core2 Duo E6750,983,39.7,8340,https://cpu.userbenchmark.com/SpeedTest/729/IntelR-CoreTM2-Duo-CPU-----E6750----266GHz
CPU,,Intel,Pentium E6300,984,39.7,2334,https://cpu.userbenchmark.com/SpeedTest/3310/PentiumR-Dual-Core--CPU------E6300----280GHz
CPU,,AMD,A8-7200P APU (2014 M.Ka),985,39.7,118,https://cpu.userbenchmark.com/SpeedTest/64755/AMD-A8-7200P-Radeon-R5-8-Compute-Cores-4C-4G
CPU,,Intel,Core2 Duo E7300,986,39.6,6269,https://cpu.userbenchmark.com/SpeedTest/2080/IntelR-CoreTM2-Duo-CPU-----E7300----266GHz
CPU,,Intel,Core2 6600,987,39.6,6565,https://cpu.userbenchmark.com/SpeedTest/984/IntelR-CoreTM2-CPU----------6600----240GHz
CPU,,Intel,Core2 Duo E7400,988,39.6,12514,https://cpu.userbenchmark.com/SpeedTest/2077/IntelR-CoreTM2-Duo-CPU-----E7400----280GHz
CPU,AD9500AHABBOX,AMD,A6-9500E APU (2016 D.BR),989,39.6,165,https://cpu.userbenchmark.com/SpeedTest/340618/AMD-A6-9500E-RADEON-R5-6-COMPUTE-CORES-2C-4G
CPU,,Intel,Core2 Duo T9300,990,39.5,2803,https://cpu.userbenchmark.com/SpeedTest/2444/IntelR-CoreTM2-Duo-CPU-----T9300----250GHz
CPU,,Intel,Core i7 L 620,991,39.4,328,https://cpu.userbenchmark.com/SpeedTest/952/IntelR-CoreTM-i7-CPU-------L-620----200GHz
CPU,,Intel,Core i3 M 370,992,39.4,19929,https://cpu.userbenchmark.com/SpeedTest/259/IntelR-CoreTM-i3-CPU-------M-370----240GHz
CPU,,AMD,Turion II Ultra Mobile M600,993,39.3,211,https://cpu.userbenchmark.com/SpeedTest/5449/AMD-Turiontm-II-Ultra-Dual-Core-Mobile-M600
CPU,,Intel,Core2 Duo P8800,994,39.2,835,https://cpu.userbenchmark.com/SpeedTest/2429/IntelR-CoreTM2-Duo-CPU-----P8800----266GHz
CPU,AM970PADY44AB,AMD,A12-9700P APU (2016 M.BR),995,39.2,4906,https://cpu.userbenchmark.com/SpeedTest/148571/AMD-A12-9700P-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,,Intel,Core i3 M 350,996,39.1,12324,https://cpu.userbenchmark.com/SpeedTest/572/IntelR-CoreTM-i3-CPU-------M-350----227GHz
CPU,,AMD,Opteron 4171 HE,997,39.1,16,https://cpu.userbenchmark.com/SpeedTest/5977/AMD-Opterontm-Processor-4171-HE
CPU,HE8067702740018,Intel,Pentium Gold 4415Y,998,39,2040,https://cpu.userbenchmark.com/SpeedTest/549016/IntelR-PentiumR-CPU-4415Y---160GHz
CPU,,AMD,A6-7400K APU (2014 D.Ka),999,39,6839,https://cpu.userbenchmark.com/SpeedTest/16549/AMD-A6-7400K-Radeon-R5-6-Compute-Cores-2C-4G
CPU,,AMD,A10-9620P APU (2016 M.BR),1000,39,4311,https://cpu.userbenchmark.com/SpeedTest/300068/AMD-A10-9620P-RADEON-R5-10-COMPUTE-CORES-4C-6G
CPU,,Intel,Core2 Duo P9400,1001,38.9,592,https://cpu.userbenchmark.com/SpeedTest/5017/IntelR-CoreTM2-Duo-CPU-----P9400----240GHz
CPU,,Intel,Pentium E5800,1002,38.9,7642,https://cpu.userbenchmark.com/SpeedTest/3092/PentiumR-Dual-Core--CPU------E5800----320GHz
CPU,,AMD,A10-7400P APU (2014 M.Ka),1003,38.9,1159,https://cpu.userbenchmark.com/SpeedTest/26875/AMD-A10-7400P-Radeon-R6-10-Compute-Cores-4C-6G
CPU,,Intel,Core2 Duo E7200,1004,38.9,5348,https://cpu.userbenchmark.com/SpeedTest/1876/IntelR-CoreTM2-Duo-CPU-----E7200----253GHz
CPU,,AMD,Phenom II P960,1005,38.9,974,https://cpu.userbenchmark.com/SpeedTest/1991/AMD-Phenomtm-II-P960-Quad-Core-Processor
CPU,FH8068003067403,Intel,Celeron J4105,1006,38.8,805,https://cpu.userbenchmark.com/SpeedTest/444211/IntelR-CeleronR-J4105-CPU---150GHz
CPU,,AMD,A8-5545M APU,1007,38.7,2361,https://cpu.userbenchmark.com/SpeedTest/9308/AMD-A8-5545M-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core2 Duo P9300,1008,38.7,248,https://cpu.userbenchmark.com/SpeedTest/602/IntelR-CoreTM2-Duo-CPU-----P9300----226GHz
CPU,,Intel,Core2 Duo P8700,1009,38.6,6436,https://cpu.userbenchmark.com/SpeedTest/581/IntelR-CoreTM2-Duo-CPU-----P8700----253GHz
CPU,,AMD,A10-4655M APU,1010,38.6,1713,https://cpu.userbenchmark.com/SpeedTest/6343/AMD-A10-4655M-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Athlon 64 X2 Dual Core 5200+,1011,38.6,4605,https://cpu.userbenchmark.com/SpeedTest/1721/AMD-Athlontm-64-X2-Dual-Core-Processor-5200-
CPU,,AMD,A6-3420M APU,1012,38.5,3843,https://cpu.userbenchmark.com/SpeedTest/649/AMD-A6-3420M-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core2 Duo T8300,1013,38.5,2210,https://cpu.userbenchmark.com/SpeedTest/1921/IntelR-CoreTM2-Duo-CPU-----T8300----240GHz
CPU,HE8067702740013,Intel,Pentium 4410Y,1014,38.5,56,https://cpu.userbenchmark.com/SpeedTest/315867/IntelR-PentiumR-CPU-4410Y---150GHz
CPU,,Intel,Xeon E5320,1015,38.4,109,https://cpu.userbenchmark.com/SpeedTest/24377/IntelR-XeonR-CPU-----------E5320----186GHz
CPU,FH8068003067406,Intel,Pentium Silver N5000,1016,38.4,7755,https://cpu.userbenchmark.com/SpeedTest/499477/IntelR-PentiumR-Silver-N5000-CPU---110GHz
CPU,,Intel,Pentium E5700,1017,38.3,16396,https://cpu.userbenchmark.com/SpeedTest/976/PentiumR-Dual-Core--CPU------E5700----300GHz
CPU,,Intel,Pentium J2900,1018,38.3,3584,https://cpu.userbenchmark.com/SpeedTest/12727/IntelR-PentiumR-CPU--J2900----241GHz
