Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,id
GPU,DUAL-RX460-O2G,Asus,Asus RX 460 2GB Dual Fan OC,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2388
GPU,Radeon RX 460 2G OC,MSI,MSI RX 460 2GB 2G OC,218,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,2389
GPU,,AMD,Radeon RX 560-B,219,19.7,49289,https://gpu.userbenchmark.com/SpeedTest/330029/Radeon-RX-560,2390
GPU,,Nvidia,GTX 480,220,19.6,3874,https://gpu.userbenchmark.com/Nvidia-GTX-480/Rating/3157,2391
GPU,,Nvidia,GTX 560 Ti (448 Core LE),221,19.4,2165,https://gpu.userbenchmark.com/SpeedTest/8215/NVIDIA-GeForce-GTX-560-Ti,2392
GPU,,AMD,HD 7850,222,19.3,49592,https://gpu.userbenchmark.com/AMD-HD-7850/Rating/2182,2393
GPU,,AMD,HD 6950,223,19,24657,https://gpu.userbenchmark.com/AMD-HD-6950/Rating/3152,2394
GPU,,Microsoft,RemoteFX Graphics Device - WDDM,224,18.9,126,https://gpu.userbenchmark.com/SpeedTest/13438/Microsoft-RemoteFX-Graphics-Device---WDDM,2395
GPU,,AMD,HD 5870,225,18.8,10176,https://gpu.userbenchmark.com/SpeedTest/7681/AMD-Radeon-HD-5800,2396
GPU,,Nvidia,GTX 680M,226,18.7,1365,https://gpu.userbenchmark.com/SpeedTest/8687/NVIDIA-GeForce-GTX-680M,2397
GPU,,Nvidia,GeForce MX350,227,17.9,3277,https://gpu.userbenchmark.com/SpeedTest/1069350/NVIDIA-GeForce-MX350,2398
GPU,,AMD,R7 360,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2399
GPU,R7 360 2GD5 OC,MSI,MSI R7 360 2G OC,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2400
GPU,11243-00-20G,Sapphire,Sapphire R7 360 2GB OC,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2401
GPU,11243-05-20G,Sapphire,Sapphire R7 360 2GB NITRO,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2402
GPU,GV-R736OC-2GD,Gigabyte,Gigabyte R7 360 2GB,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2403
GPU,GV-R736OC-2GD REV2.0,Gigabyte,Gigabyte R7 360 2GB V2,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2404
GPU,R7-360P-2SF5,XFX,XFX R7 360 2GB 360P,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2405
GPU,R7360-OC-2GD5-V2,Asus,Asus R7 360 2GB OC V2,228,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,2406
GPU,,AMD,Radeon HD 8950,229,17.8,608,https://gpu.userbenchmark.com/SpeedTest/8897/AMD-Radeon-HD-8950,2407
GPU,,AMD,FirePro M6100 (FireGL V),230,17.5,235,https://gpu.userbenchmark.com/SpeedTest/10287/AMD-FirePro-M6100-FireGL-V,2408
GPU,,Nvidia,GTX 750-Ti,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2409
GPU,02G-P4-3753-KR,EVGA,EVGA GTX 750 Ti 2GB SC,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2410
